,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
S215000517,08/07/2022 13:26:35,18.69s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1441,25.2520,5.0001,3.3218,2.4999,5.0091,23.9851,16.8529,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:27:17,19.71s,2,Failed,Binary Input 6 Low,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1434,25.2491,5.0000,3.3218,2.4997,0.0007,23.8384,16.9441,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:27:58,18.66s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1441,25.2536,5.0001,3.3217,2.5000,5.0092,23.9109,16.8469,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 13:28:09,29.59s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1472,25.4766,5.0087,3.3385,2.5034,4.9951,23.3757,16.4572,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 13:29:10,21.50s,1,Failed,Binary Input 6 Low,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1470,25.4892,5.0089,3.3383,2.5036,4.9953,23.6641,16.7286,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Failed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:29:20,32.35s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1436,25.2460,5.0000,3.3218,2.4997,5.0094,23.7497,16.8413,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:30:31,18.61s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1437,25.2432,5.0000,3.3217,2.4997,5.0093,23.9541,16.8780,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 13:30:41,29.36s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1473,25.4914,5.0089,3.3384,2.5036,4.9953,23.7714,16.8463,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:31:26,18.55s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1434,25.2483,5.0000,3.3218,2.4997,5.0093,23.9551,17.2651,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,08/07/2022 13:31:36,29.45s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1469,25.5005,5.0089,3.3385,2.5036,4.9953,23.7086,16.3406,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,08/07/2022 13:40:45,305.50s,1,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1454,25.2522,5.0001,3.3217,2.4999,5.0092,23.7415,16.9260,Passed,Passed,011FE5,2499.93,024F44C00014FFFF7FFF9C53001C2721,025044CD0014FFFF7FFF9C5F001D2712,025D9C3F,Passed,Passed,Passed,0251D9C3777D0B566E9B000900007FFF,0252D9C377830B536E210007FFFF7FFF,0253D9EF777E0B4F6E4E000DFFFF7FFF,0254D9BD77670B4D6E86001100007FFF,0255DA3277AF0B536E590013FFFF7FFF,0256D9B577710B446E8F001700007FFF,0257D9BC777A0B576E5B001400007FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E360020,02596DEA001A,025A6E2A0026,025B6E58001F,Passed,Passed,Passed,Passed,0,0,0,0,23.94,23.94,23.94,23.96,0,0,0,0,0.06,0.05,0.05,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,10.06,10.02,0.00,0.00,0.00,0.00,10.03,10.03,10.00,10.01,0.00,0.00,0.00,0.00,80.38,80.37,9.99,9.99,9.99,9.99,9.99,9.99,9.99,0.00,0.01,0.01,0.00,0.01,0.00,0.00,9993,9996,9997,9996,9995,9997,9996,32.77,32.77,10005,10000,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S214600912,08/07/2022 13:44:38,538.68s,2,Failed,AO4 Calibration,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1465,25.4799,5.0086,3.3385,2.5034,0.0025,23.5856,16.3339,Passed,Passed,011FE5,2503.39,024F44B8001C573000159C91003A2712,025044F500175749000D9CA2002E2703,025D9C76,Passed,Passed,Passed,0251DAAE77F40B5F6E21000C8A920009,0252DA8577FB0B616E40000E8A9B000C,0253DA8277D40B5C6DF300128A520010,0254DA7F77EC0B5C6E99000F8B36000F,0255DABF78040B5B6E9B00108B1D0011,0256DA8E77F30B586E4100148AB80012,0257DA9E77F90B636E4300148AA50012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EF6001B,02596E440017,025A6EE10023,025B6EB5001A,Passed,Passed,Passed,Passed,0,0,0,0,23.93,23.93,23.93,23.95,0,0,0,0,0.10,0.08,0.12,0.07,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.02,10.04,10.05,0.01,0.00,0.00,0.00,10.07,10.08,10.02,10.09,0.00,0.00,0.00,0.00,80.36,80.36,9.99,9.99,9.99,9.99,9.99,9.99,9.99,9.98,9.97,9.97,9.98,9.98,9.97,9.97,9998,9999,9996,9999,9999,9999,9998,10.01,10.01,10011,9993,Passed,Passed,Passed,Passed,9.99,10.00,0.01,0.01,89,88,86,82
S215000517,08/07/2022 13:52:27,254.01s,2,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1443,25.2407,5.0000,3.3217,2.4998,5.0093,23.9015,17.2082,Passed,Passed,011FE5,2499.72,024F44C000105672000D9C58001D271B,025044CE0010567D000A9C5C001E270C,025D9C3C,Passed,Passed,Passed,0251D9E977A00B6C6E98000E8AED0009,0252D9EBD9E0D9D4FFFF7FFFFFFF7FFF,0253DA0F779E0B666E4000148A8D0011,0254D9F1D9E5D9DAFFFF7FFF00007FFF,0255DA5777D80B5E6E46001A8A880014,0256D9D8778A0B546E89001A8ADA0015,0257D9E777960B606E46001A8A610015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E30001E,02596DE1001A,025A6E220025,025B6E53001D,Passed,Passed,Passed,Passed,0,0,0,0,23.93,23.93,23.93,23.96,0,0,0,0,0.11,0.09,0.11,0.06,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.06,10.01,9.91,10.03,0.00,0.00,0.00,0.00,10.03,10.04,10.00,10.01,0.00,0.00,0.00,0.00,80.38,80.38,9.99,32.77,9.99,32.77,9.99,9.99,9.99,10.00,0.01,10.00,0.00,10.00,10.00,10.00,9996,1660,9998,2622,9997,9998,9998,10.01,10.01,10018,10002,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S214600912,08/07/2022 13:57:26,552.69s,1,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1471,25.4996,5.0089,3.3383,2.5036,4.9953,23.5091,22.8415,Passed,Passed,011FE5,2503.66,024F44BA0014FFFF7FFF9C90001D271E,025044F2001900007FFF9C98001C2713,025D9C7B,Passed,Passed,Passed,0251DAB177E60B5C6E28000700007FFF,0252DA8077F60B646E47000800007FFF,0253DA7977D60B576DFA000C00007FFF,0254DA6D77DD0B586E9D001000007FFF,0255DAB577F40B576EA00014FFFF7FFF,0256DA8777EA0B556E490014FFFF7FFF,0257DA9D77EA0B6B6E4C0012FFFF7FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EF6001F,02596E47001A,025A6EE30025,025B6EB7001D,Passed,Passed,Passed,Passed,0,0,0,0,23.93,23.93,23.93,23.95,0,0,0,0,0.06,0.04,0.04,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.01,10.11,10.03,0.01,0.00,0.00,0.00,10.06,10.07,10.02,10.08,0.00,0.00,0.00,0.00,80.37,80.37,9.99,9.99,10.00,9.99,9.99,9.99,9.99,0.00,0.00,0.00,0.00,0.01,0.01,0.01,9998,9993,9999,9998,9996,10000,10000,32.77,0.00,10004,9999,Passed,Passed,Passed,Passed,9.99,10.00,0.01,0.01,89,88,86,82
S214600912,08/07/2022 14:02:57,300.45s,1,Failed,Binary Output 1 Led ON,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1465,25.5521,5.0089,3.3384,2.5037,4.9955,23.7113,23.0410,Passed,Passed,011FE5,2503.67,024F44B2001E00007FFF9C97000F271D,025044EF001A00007FFF9CA4000E270E,025D9C7B,Passed,Passed,Passed,0251DAA177F00B5A6E24000D00007FFF,0252DA8477FC0B5C6E46000E00007FFF,0253DA7C77D10B566DF60013FFFF7FFF,0254DA6577DA0B586E9E000F00007FFF,0255DAAF77FD0B576E9E001200007FFF,0256DA8A77F60B556E49001500007FFF,0257DA9577F70B5F6E4A0015FFFF7FFF,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EF5001C,02596E480018,025A6EE40020,025B6EB7001B,Passed,Passed,Passed,Passed,0,0,0,0,23.93,23.93,23.93,23.95,0,0,0,0,0.21,0.22,0.18,0.18,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.01,10.03,10.05,0.01,0.00,0.00,0.00,10.06,10.07,10.02,10.08,0.00,0.00,0.00,0.00,80.36,80.35,10.00,9.99,9.99,9.99,9.99,9.99,9.99,0.00,0.00,0.01,0.00,0.00,0.00,0.01,9993,9996,9994,9991,9996,9998,9996,0.00,0.00,10004,9993,Passed,Passed,Passed,Passed,10.01,9.99,0.01,0.01,89,88,86,82
