,,,,,TestName,Connectors P15-P19 or J3,Connectors J4 or J7,Connectors J5 or J8,Connectors J6 or J9,Connectors P20 or J10,Connectors P21,Presence Rivet 1,Presence Rivet 2,Presence Rivet 3,Presence Rivet 4,Presence Rivet 5,Presence Rivet 6,Presence Rivet 7,Presence Rivet 8,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,REF_2V5_Buf VDC Measurment,5V_Pressure_Transducer Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,Program & Verify Hardware,Program & Verify Serial Number,Verify Software Number,2.5V_Buf Reference,UIO1 Data Calibrated,UIO2 Data Calibrated,2.5V Reference Data Calibrated,UIO1 Calibration,UIO2 Calibration,2.5V Reference Calibration,UI1 Data Calibrated,UI2 Data Calibrated,UI3 Data Calibrated,UI4 Data Calibrated,UI5 Data Calibrated,UI6 Data Calibrated,UI7 Data Calibrated,UI1 Calibration,UI2 Calibration,UI3 Calibration,UI4 Calibration,UI5 Calibration,UI6 Calibration,UI7 Calibration,AO1 Data Calibrated,AO2 Data Calibrated,AO3 Data Calibrated,AO4 Data Calibrated,AO1 Calibration,AO2 Calibration,AO3 Calibration,AO4 Calibration,Binary Output 1 Led ON,Binary Output 2 Led ON,Binary Output 3 Led ON,Binary Output 4 Led ON,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,Binary Output 1 Led OFF,Binary Output 2 Led OFF,Binary Output 3 Led OFF,Binary Output 4 Led OFF,0 VAC Binary Output 1,0 VAC Binary Output 2,0 VAC Binary Output 3,0 VAC Binary Output 4,Binary Input 1 High,Binary Input 2 High,Binary Input 3 High,Binary Input 4 High,Binary Input 5 High,Binary Input 6 High,Binary Input 1 Low,Binary Input 2 Low,Binary Input 3 Low,Binary Input 4 Low,Binary Input 5 Low,Binary Input 6 Low,AO1 Voltage Output Mode 10V,AO2 Voltage Output Mode 10V,AO3 Voltage Output Mode 10V,AO4 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO2 Voltage Output Mode 0V,AO3 Voltage Output Mode 0V,AO4 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO2 Current Output Mode 10 mA,AO3 Current Output Mode 10 mA,AO4 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO2 Current Output Mode 0 mA,AO3 Current Output Mode 0 mA,AO4 Current Output Mode 0 mA,AO3 PWM Output Mode 80Hz,AO4 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI2 Voltage Input Mode 10V,UI3 Voltage Input Mode 10V,UI4 Voltage Input Mode 10V,UI5 Voltage Input Mode 10V,UI6 Voltage Input Mode 10V,UI7 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI2 Current Input Mode 10mA,UI3 Current Input Mode 10mA,UI4 Current Input Mode 10mA,UI5 Current Input Mode 10mA,UI6 Current Input Mode 10mA,UI7 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UI2 Resistance Input Mode 10k,UI3 Resistance Input Mode 10k,UI4 Resistance Input Mode 10k,UI5 Resistance Input Mode 10k,UI6 Resistance Input Mode 10k,UI7 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO2 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO2 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO2 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO2 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO2 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,UIO2 Voltage Output Mode 0V,J11 Address J11.1,J11 Address J11.3,J11 Address J11.5,J11 Address J11.7
S214600912,13/07/2022 15:26:48,254.32s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1486,25.5220,5.0090,3.3383,2.5037,4.9954,23.4331,16.2096,Passed,Passed,011FE5,2503.67,024F44B5001E5728001A9C9900112721,025044EE001A574100149CA10012270E,025D9C7B,Passed,Passed,Passed,0251DAAB77E10B5D6E21000F8A7C000D,0252DA7C77F30B5F6E41000F8A8B000F,0253DA7877D20B586DF000158A490011,0254DA7677DB0B5A6E9800118B300010,0255DABA78060B596E9800138B130013,0256DA8377E60B566E4500148AB20014,0257DA9377E80B626E4700148AA50014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EEE001D,02596E46001A,025A6EE20023,025B6EAE001B,Passed,Passed,Passed,Passed,77077,77013,83941,52859,23.94,23.94,23.94,23.96,0,0,0,0,0.07,0.06,0.05,0.05,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.07,10.01,10.07,10.05,0.01,0.00,0.00,0.00,10.19,10.18,10.13,10.20,0.00,0.00,0.00,0.00,80.35,80.34,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.98,9.98,9.98,9.99,9.99,9.98,9.98,9981,9993,9998,9997,9998,9999,9998,10.02,10.02,10004,9990,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S220401371,13/07/2022 15:30:56,501.96s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1450,25.2820,5.0085,3.3226,2.5042,4.9823,23.5325,16.5401,Passed,Passed,011FE5,2504.20,024F4517000D5712000C9C8E0024271E,025044C000175750000E9C9F0019270E,025D9C83,Passed,Passed,Passed,0251D9BC77760B556E4200078A39000F,0252D9D877720B4E6E49000A8A460010,0253D9AB77550B456E4A000D8A460015,0254D9D677830B4E6E2B000D8A0E0018,0255D98C775D0B446E2800118A17001A,0256D99E77650B446E4700128A42001A,0257D98E77700B596E3A00128A38001A,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E9A001D,02596E3F0019,025A6E6B0024,025B6E9F001B,Passed,Passed,Passed,Passed,43019,43085,66299,38226,23.93,23.93,23.93,23.96,0,0,0,0,0.12,0.10,0.13,0.08,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,9.90,10.03,0.00,0.01,0.00,0.00,10.12,10.10,10.11,10.06,0.00,0.00,0.00,0.00,80.22,80.22,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.99,9.98,9.98,9.98,9.98,9.98,9.98,9993,9998,9996,9996,9997,9998,9998,10.01,10.01,10013,9996,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S220401371,13/07/2022 15:36:13,253.20s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1448,25.2957,5.0085,3.3226,2.5042,4.9823,23.7804,16.5971,Passed,Passed,011FE5,2504.22,024F4518000E5715000A9C96001C2723,025044C500115754000C9CA2001B2710,025D9C83,Passed,Passed,Passed,0251D9AF77740B556E4700038A34000D,0252D9C6776D0B506E4A00088A42000F,0253D99E77490B3D6E4A000F8A34001B,0254D9C4777E0B506E2F000E89F0001E,0255D97A77560B3C6E2D001389F50020,0256D98E775E0B3C6E4700138A33001F,0257D97C776A0B5A6E3F00138A2A0020,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E9B001E,02596E400019,025A6E6A0026,025B6E9F001E,Passed,Passed,Passed,Passed,41446,41304,65103,32971,23.93,23.93,23.93,23.95,0,0,0,0,0.10,0.09,0.11,0.06,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.06,10.03,0.00,0.01,0.00,0.00,10.12,10.10,10.09,10.09,0.00,0.00,0.00,0.00,80.18,80.17,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.99,9.99,10.00,10.00,10.00,9.99,9.99,9989,9994,9996,9998,9995,9997,9997,10.01,10.02,10012,9996,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S220401371,13/07/2022 15:41:38,254.23s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1448,25.3041,5.0085,3.3225,2.5042,4.9823,23.7905,16.8239,Passed,Passed,011FE5,2504.21,024F451800115716000A9C9900172726,025044C000185756000B9C9D00232710,025D9C83,Passed,Passed,Passed,0251D9AE776C0B556E40000B8A550009,0252D9C277650B526E48000D8A64000C,0253D998774C0B4D6E4A00108A71000F,0254D9C277810B526E3100128A2F0012,0255D97777500B4D6E2F00148A3D0013,0256D98777540B4C6E4900148A6D0014,0257D97A77640B586E3A00168A680012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E9A001E,02596E40001B,025A6E6D0024,025B6E9F001C,Passed,Passed,Passed,Passed,43151,43019,66470,35950,23.93,23.93,23.93,23.95,0,0,0,0,0.09,0.08,0.11,0.06,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.02,10.03,0.00,0.01,0.00,0.00,10.11,10.14,10.10,10.08,0.00,0.00,0.00,0.00,80.18,80.20,10.08,10.08,10.08,10.08,10.08,10.08,10.07,9.98,9.98,9.97,9.97,9.98,9.97,9.97,9993,9998,9999,9997,9998,9998,9996,10.02,10.01,10016,10000,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S222604331,13/07/2022 15:46:53,255.35s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1312,25.6383,5.0133,3.3157,2.5062,4.9951,24.8507,18.6097,Passed,Passed,011FE5,2506.19,024F44DE0016578400109CBB00192720,025044CB000F577700159CC300192711,025D9CA3,Passed,Passed,Passed,0251D8F377180B4E6E4F00038AA4000B,0252D8E877240B4F6E3800048A74000C,0253D8E377180B496EDE000D8B2B0019,0254D89476C80B386ECA000F8B30001A,0255D8E676DF0B376ED400128B2C001A,0256D929773C0B3C6DCB000F89EE0018,0257D8E076FE0B4C6E6F00128AAD001C,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E62001C,02596E910017,025A6E8B0021,025B6EAA001A,Passed,Passed,Passed,Passed,75589,75547,81785,22692,23.93,23.93,23.93,23.96,0,0,0,0,0.06,0.05,0.05,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.04,10.02,10.01,10.03,0.01,0.00,0.00,0.01,10.03,10.09,10.04,10.05,0.00,0.00,0.00,0.00,80.29,80.29,10.10,10.10,10.10,10.09,10.10,10.10,10.10,10.00,10.00,9.99,9.99,9.99,9.99,10.00,9999,9998,9998,9999,10000,9999,9999,10.01,10.01,10010,9997,Passed,Passed,Passed,Passed,10.00,10.00,0.01,0.01,89,88,86,82
S222604331,13/07/2022 15:51:29,256.83s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1456,25.7134,5.0132,3.3161,2.5061,4.9954,23.9540,17.0321,Passed,Passed,011FE5,2506.15,024F44E00011578000109CB700192722,025044C70013577200169CBE001B270B,025D9CA2,Passed,Passed,Passed,0251D904771D0B496E4600058A8F000E,0252D8FC77320B506E2E00068A5A000E,0253D8EF77160B446ED8000D8B280014,0254D89C76C80B3C6EC7000C8B320015,0255D8F076F10B376ED000118B1F0018,0256D93A773C0B436DC5001189EC0019,0257D8E877030B476E6800108AAC0016,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E61001B,02596E8F0016,025A6E89001F,025B6EA90017,Passed,Passed,Passed,Passed,40870,40870,68210,41304,23.93,23.93,23.93,23.95,0,0,0,0,0.06,0.05,0.07,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.03,10.00,9.99,10.03,0.01,0.00,0.00,0.01,10.06,10.08,10.01,10.07,0.00,0.00,0.00,0.00,80.31,80.30,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.99,9.98,9.98,9.98,9.98,9.99,9.99,9992,9997,9998,10000,9999,9998,9999,10.01,10.01,10017,9994,Passed,Passed,Passed,Passed,10.00,9.99,0.01,0.01,89,88,86,82
S222604331,13/07/2022 15:58:26,54.45s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1470,25.7018,5.0132,3.3161,2.5062,4.9953,23.8131,16.5790,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43731,7733,68924,43346,23.93,23.93,23.93,23.95,0,0,0,0,0.05,0.05,0.06,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S222604331,13/07/2022 15:59:31,50.71s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1471,25.7400,5.0132,3.3161,2.5062,4.9959,23.7551,16.6058,Passed,Passed,011FE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69226,48642,74471,10105,23.93,23.94,23.94,23.96,0,0,0,0,0.06,0.05,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S222604331,13/07/2022 16:06:20,250.07s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1476,25.6847,5.0132,3.3159,2.5062,4.9960,23.9390,16.8496,Passed,Passed,011FE5,2506.18,024F44DD0019578100109CBA00162720,025044C600185777000E9CC600152711,025D9CA3,Passed,Passed,Passed,0251D8F6771C0B516E5000088AAD000A,0252D8E9772D0B526E3500088A82000A,0253D8E4771A0B4F6EDE000D8B4D0012,0254D89876CD0B436ECA000E8B530014,0255D8E676E90B406ED300118B490015,0256D92C773D0B4C6DC8001389FD0015,0257D8DE76FE0B506E6D00148AAE0014,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586E63001E,02596E910018,025A6E890023,025B6EAC001B,Passed,Passed,Passed,Passed,61906,44967,66598,7371,23.94,23.94,23.94,23.96,0,0,0,0,0.06,0.04,0.04,0.04,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.03,10.01,9.93,10.03,0.01,0.00,0.00,0.01,10.03,10.09,10.02,10.09,0.00,0.00,0.00,0.00,80.31,80.30,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.99,9.98,9.99,10.00,9.99,9.98,9.98,9993,9998,9996,9998,9999,9999,9999,10.01,10.01,10009,9999,Passed,Passed,Passed,Passed,10.00,9.99,0.01,0.01,89,88,86,82
S214600912,13/07/2022 16:10:19,489.83s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1475,25.5159,5.0090,3.3387,2.5037,4.9950,23.4107,16.2833,Passed,Passed,011FE5,2503.68,024F44B90015572F00089C91001A2722,025044F700145745000C9C990020270E,025D9C7B,Passed,Passed,Passed,0251DAAE77E40B626E1B00098A420015,0252DA7C77ED0B676E36000C8A5A0018,0253DA7777D70B566DF0000D89FA001E,0254DA7577E00B596E9700148AEF001C,0255DAB778040B586E9800188AEF001C,0256DA8A77E20B556E3E00158A930020,0257DAA577E70B6D6E4100148A760020,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EEC001E,02596E400019,025A6EDE0023,025B6EA70020,Passed,Passed,Passed,Passed,50423,6628,73806,53104,23.93,23.93,23.93,23.95,0,0,0,0,0.04,0.04,0.06,0.02,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.03,9.92,10.05,0.01,0.01,0.00,0.00,10.19,10.17,10.14,10.21,0.00,0.00,0.00,0.00,80.37,80.39,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.99,10.00,10.00,9.99,9.99,9.99,9.99,9998,9998,9998,9999,9998,10000,9999,10.01,10.01,10005,9991,Passed,Passed,Passed,Passed,10.00,9.98,0.01,0.01,89,88,86,82
S220401371,13/07/2022 16:11:55,6.52s,1,Failed,3.3 VDC Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1471,25.2588,5.0085,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210600587,13/07/2022 16:15:58,249.19s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1614,25.6458,4.9889,3.2885,2.4950,4.9879,22.8469,15.4185,Passed,Passed,011FE5,2494.98,024F44A600135739000F9C0900132721,0250445400115725000C9C130015270B,025D9BF0,Passed,Passed,Passed,0251D80F76810B466E07000689A5000D,0252D83A76B10B4C6E02000A89AF000D,0253D817767A0B3D6E01000E89D40010,0254D7D776700B3F6E3B00118A1C000F,0255D827769C0B3B6DE9001489AF0012,0256D82176930B386DFB001489D90012,0257D84976AF0B4F6DED0013899C0013,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DB8001E,02596E120019,025A6E220022,025B6E2D001C,Passed,Passed,Passed,Passed,43921,7733,73489,48287,23.92,23.92,23.92,23.95,0,0,0,0,0.12,0.10,0.12,0.07,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.97,9.99,9.93,10.00,0.00,0.00,0.00,0.00,10.01,9.96,9.94,10.00,0.00,0.00,0.00,0.00,80.42,80.42,10.08,10.08,10.08,10.08,10.08,10.08,10.08,10.00,9.99,9.98,9.98,9.98,9.98,9.98,9995,9999,10001,10000,10001,10001,10000,10.02,10.01,10014,9992,Passed,Passed,Passed,Passed,9.95,9.98,0.01,0.01,89,88,86,82
S220401371,13/07/2022 16:17:06,6.09s,1,Failed,3.3 VDC Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1464,25.2557,5.0085,0.0024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,13/07/2022 16:17:56,6.30s,1,Failed,3.3 VDC Measurment,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1457,25.2603,5.0085,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,13/07/2022 16:24:02,248.93s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1461,25.2559,5.0085,3.3224,2.5042,4.9826,23.4543,16.5571,Passed,Passed,011FE5,2504.19,024F45190011571800049C9C00172723,025044C300175756000E9CA500152711,025D9C83,Passed,Passed,Passed,0251D9AC776B0B556E4C00078A52000A,0252D9BF776A0B536E52000B8A61000B,0253D99477500B4F6E5200118A66000F,0254D9BF77820B536E3600108A280011,0255D97977510B4E6E3100158A360012,0256D98377590B4E6E5000158A700013,0257D97877670B586E4300168A670012,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EA0001D,02596E45001A,025A6E6E0023,025B6EA50019,Passed,Passed,Passed,Passed,72886,61037,80313,20673,23.94,23.94,23.94,23.96,0,0,0,0,0.07,0.06,0.06,0.05,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.05,10.01,10.06,10.03,0.00,0.01,0.00,0.00,10.10,10.12,10.10,10.07,0.00,0.00,0.00,0.00,80.21,80.21,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.99,9.98,9.98,9.98,9.98,9.98,9.98,9990,9994,9998,9991,9998,9997,9994,10.02,10.02,10013,9998,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S220401371,13/07/2022 16:27:15,5.41s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1462,25.2792,5.0084,3.3224,2.5042,4.9823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210600587,13/07/2022 16:27:31,5.88s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1617,25.6474,4.9891,3.2875,2.4950,4.9879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,13/07/2022 16:27:47,5.26s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1481,25.5319,5.0090,3.3382,2.5037,4.9950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,13/07/2022 16:28:11,5.19s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1461,25.2861,4.9999,3.3214,2.4999,5.0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S215000517,13/07/2022 16:28:38,5.36s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1438,25.2914,5.0000,3.3216,2.4999,5.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S220401371,13/07/2022 16:28:54,5.38s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1450,25.2640,5.0085,3.3227,2.5042,4.9822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S210600587,13/07/2022 16:29:09,5.22s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1599,25.6424,4.9889,3.2878,2.4950,4.9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,13/07/2022 16:29:24,5.30s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1465,25.5294,5.0090,3.3386,2.5037,4.9947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S214600912,13/07/2022 16:34:09,248.99s,2,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1461,25.5320,5.0090,3.3385,2.5037,4.9949,23.5515,16.2685,Passed,Passed,011FE5,2503.69,024F44B4001D572A00139C9F000A2729,025044F20017574300109CA20010270E,025D9C7B,Passed,Passed,Passed,0251DAAC77E60B5D6E1C000F8A77000D,0252DA8278010B606E3900108A800010,0253DA7B77D20B576DEC00138A3D0013,0254DA7777DE0B586E9300118B2E0011,0255DABC780A0B586E9500128B200013,0256DA8677E40B566E3C00168AA20017,0257DAA677EA0B626E3F00168A930015,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586EEC001E,02596E3F001B,025A6EDB0026,025B6EA8001C,Passed,Passed,Passed,Passed,49187,11647,72681,65011,23.92,23.93,23.93,23.95,0,0,0,0,0.05,0.04,0.06,0.03,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,10.08,10.03,9.90,10.05,0.01,0.00,0.00,0.00,10.17,10.17,10.14,10.20,0.00,0.00,0.00,0.00,80.37,80.37,10.08,10.08,10.08,10.08,10.08,10.08,10.08,9.98,9.98,9.98,9.99,9.99,9.98,9.98,9996,9985,9998,9998,9998,9998,9998,10.01,10.02,10014,9986,Passed,Passed,Passed,Passed,9.99,9.99,0.01,0.01,89,88,86,82
S210600587,13/07/2022 16:38:11,491.12s,1,Passed,,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,0.1611,25.6506,4.9891,3.2874,2.4950,4.9885,22.8238,15.7843,Passed,Passed,011FE5,2495.00,024F44A40011573900079BFF001A2720,025044530012572300089C0D0017270B,025D9BF0,Passed,Passed,Passed,0251D80F76820B3E6E0B000189B10007,0252D83E76B70B436E08000389B5000A,0253D81676820B386E06000789DC000F,0254D7D176770B396E4700068A020011,0255D82A76940B386DEF000B89B10013,0256D82076960B366E02000C89C90014,0257D84876B40B456DF2000B899E0013,Passed,Passed,Passed,Passed,Passed,Passed,Passed,02586DBC0017,02596E1A0010,025A6E28001E,025B6E330015,Passed,Passed,Passed,Passed,66788,64170,69815,53586,23.93,23.93,23.93,23.96,0,0,0,0,0.07,0.05,0.05,0.05,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,Passed,9.99,9.99,9.97,10.00,0.00,0.00,0.00,0.00,10.02,9.93,9.95,9.99,0.00,0.00,0.00,0.00,80.40,80.39,10.10,10.10,10.10,10.10,10.10,10.10,10.10,9.98,9.98,9.99,9.99,9.99,9.99,9.99,9996,9998,9998,9999,10000,9999,9999,10.02,10.01,10014,9995,Passed,Passed,Passed,Passed,9.95,9.98,0.01,0.01,89,88,86,82
