,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V
S221705273,18/08/2022 01:11:20 p. m.,91.82s,1,Passed,,0.185043,23.7536688,5.00827382,3.32888603,1.35121843,1.27763782,23.7522735,4.18323489,23.8854283,23.8851316,23.8854198,23.8872752,23.8874931,23.8875133,23.8873266,23.8876846,23.8878042,23.8862254,23.8864236,23.8888579,23.8879503,0.0606051853,0.063721595,0.0679669675,0.0979289716,0.0957861887,0.0890328996,0.0643767707,0.0893782117,0.0454206156,0.0818750751,0.063116747,0.0742113897,0.0812991405,9993,9998,9988,9990,9996,9997,9997,9986,9992,10.07,0.00,10.00,0.00,80.19,10.01,10.00,10001,10.01,10011,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:13:22 p. m.,213.49s,2,Failed,24 VAC Binary Output 7,0.181427,23.808861,4.98372903,3.3276061,1.34890841,1.27826019,23.812381,4.24142641,0.0307633726,23.9201215,23.9206718,23.9217945,23.9220083,23.9219881,23.9219364,0.036435306,0.0338995824,23.9222843,23.9222851,23.9236951,23.9241192,0.029421042,0.0357397583,0.0303250848,0.0248205034,0.0133012112,0.00967256714,0.0102328835,0.0118455938,0.00922252735,0.00870612238,0.0209514919,0.0164745315,0.0132083379,10002,10000,9999,9999,10000,10003,10004,10000,9998,10.06,0.01,9.94,0.00,80.41,10.00,9.99,9999,10.01,10020,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:15:15 p. m.,93.25s,1,Passed,,0.185181,23.7548112,5.00821002,3.32880034,1.35132466,1.27768976,23.7534666,4.20540716,23.8893447,23.8893406,23.8894336,23.8910506,23.8912815,23.8909769,23.8910371,23.8911443,23.8914147,23.8897412,23.8900656,23.8923427,23.8922223,0.0257641207,0.0147666907,0.0138543735,0.0504477508,0.0133859094,0.0400349266,0.0177452015,0.0297151736,0.0218365168,0.0578417713,0.0487377041,0.0617530213,0.0607289874,9994,9999,9988,9990,9997,9998,9998,9986,9993,10.07,0.00,10.00,0.00,80.20,10.01,10.00,10001,10.02,10013,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:16:44 p. m.,181.90s,2,Passed,,0.181717,23.8126448,4.98312383,3.32752686,1.34909494,1.27845461,23.8011603,4.24467444,23.8943792,23.894408,23.8945366,23.8966797,23.8968469,23.8967163,23.896887,23.8968307,23.8969762,23.8959182,23.8956922,23.8980174,23.8980497,0.153566293,0.0300007081,0.0209210448,0.0267583095,0.015308429,0.0218833477,0.023600163,0.023251094,0.0290671736,0.0294159882,0.0353125707,0.0262920737,0.0270206914,10007,10008,10007,10007,10008,10011,10013,10010,10006,10.06,0.01,9.94,0.00,80.42,10.00,10.03,10009,10.01,10032,Passed,Passed,9.99,0.04
S221705273,18/08/2022 01:18:23 p. m.,91.78s,1,Passed,,0.184723,23.7557625,5.00815081,3.32870572,1.35138033,1.27772282,23.7543689,4.18599273,23.886884,23.8870082,23.8871873,23.8888222,23.8888149,23.8888256,23.8889079,23.8889804,23.8889604,23.887365,23.8874896,23.8900086,23.8897673,0.0456934425,0.0419306186,0.0450040335,0.0860406626,0.0557082057,0.0522839807,0.0400340279,0.0567448795,0.0300628028,0.0678351808,0.0526612347,0.0668360944,0.0668584477,9996,10001,9991,9993,9999,9998,9999,9989,9994,10.06,0.00,10.00,0.00,80.20,10.01,10.00,10006,10.01,10016,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:20:11 p. m.,199.04s,2,Failed,24 VAC Binary Output 12,0.182205,23.8140282,4.98486454,3.32749754,1.34917793,1.27856463,23.8057295,4.2284516,0.0333235208,23.9150669,23.9154659,23.9161917,23.9163709,23.9164788,23.9165152,23.9165142,23.9166001,23.9159003,23.9158721,23.9174577,0.0354759351,0.0957276756,0.110964326,0.130538955,0.10806523,0.0859760922,0.101179401,0.0947453506,0.084870201,0.093293334,0.0949193166,0.0944473011,0.0776840871,0.0826696012,10001,10002,9999,10001,10002,10003,10005,10001,9999,10.07,0.01,9.94,0.00,80.40,10.00,9.99,10000,10.01,10021,Passed,Passed,9.99,0.04
S221802452,18/08/2022 01:22:08 p. m.,104.47s,2,Passed,,0.182007,23.8141297,4.98219015,3.32748822,1.34918592,1.27854379,23.8092774,4.24761554,23.8878598,23.8887896,23.8859691,23.8874059,23.8875439,23.8930069,23.8928681,23.8933551,23.8929745,23.892099,23.8909336,23.8933582,23.8888462,0.100086645,0.117131869,0.135316717,0.112560416,0.0935661248,0.108395525,0.103658399,0.100604199,0.103224288,0.103270108,0.106544306,0.104710133,0.0858607495,10002,10001,9999,9999,10000,10002,10004,10000,9997,10.00,0.01,9.95,0.00,80.43,10.00,9.99,10000,10.01,10021,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:23:31 p. m.,186.82s,1,Passed,,0.184677,23.7560087,5.00810252,3.32872562,1.35137002,1.2776881,23.7546743,4.20348512,23.8872835,23.8875146,23.8878892,23.8893755,23.8896918,23.8897378,23.8897249,23.889773,23.8900271,23.888219,23.88864,23.8908861,23.8905223,0.071382549,0.0670096323,0.0775984094,0.115388182,0.100680463,0.080118887,0.0693513237,0.0932283467,0.0449917626,0.0636726271,0.052210136,0.0577271973,0.0747751845,9991,9996,9986,9987,9993,9993,9994,9983,9989,10.07,0.00,10.00,0.00,80.20,10.01,9.99,9996,10.01,10004,Passed,Passed,10.00,0.04
S221705273,18/08/2022 01:25:09 p. m.,91.88s,1,Passed,,0.184479,23.7587064,5.00783747,3.32865665,1.35143855,1.27774416,23.7571246,4.20142276,23.8886663,23.8888238,23.8890101,23.8905169,23.8901398,23.890223,23.8902557,23.8903181,23.890249,23.8889162,23.889171,23.8912644,23.8910596,0.0368333093,0.0423678713,0.0413204365,0.0590312393,0.0588912438,0.0629409795,0.0374025167,0.0513975882,0.0254068357,0.0526560874,0.0394312802,0.0476615195,0.040921798,9995,10001,9991,9992,9998,9997,9998,9988,9994,10.07,0.00,10.00,0.00,80.19,10.01,10.00,10003,10.01,10014,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:26:41 p. m.,183.94s,2,Passed,,0.182327,23.8123319,4.98383291,3.32748015,1.34917953,1.27857965,23.8068022,4.25319282,23.8952599,23.8953282,23.8954195,23.8972251,23.8972264,23.8975354,23.8975139,23.8972812,23.897269,23.8957306,23.8961871,23.8982287,23.8984566,0.0949619949,0.111471991,0.132610948,0.110689958,0.0892953617,0.105474992,0.0992288118,0.0898041473,0.0988116943,0.101434288,0.102524082,0.0865454941,0.0924509526,10009,10010,10008,10009,10010,10013,10014,10011,10008,10.06,0.01,9.94,0.00,80.43,10.00,10.03,10014,10.01,10035,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:28:21 p. m.,93.24s,1,Passed,,0.185089,23.7568582,5.00809596,3.32867368,1.35143062,1.27773352,23.7555874,4.17211642,23.8874203,23.8875821,23.8879546,23.8895811,23.8897646,23.8897247,23.8897375,23.8898171,23.8902212,23.8886139,23.8890101,23.8910244,23.8911747,0.0294223761,0.0340809716,0.0270311668,0.0367188878,0.0396126025,0.060130545,0.0221171953,0.0326606759,0.0230920915,0.0547302335,0.0453718726,0.0552266026,0.0544626036,9993,10002,9989,9990,9998,9992,9997,9988,9994,10.07,0.00,10.00,0.00,80.18,10.01,9.99,10008,10.01,10011,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:29:59 p. m.,191.66s,2,Passed,,0.181915,23.8145993,4.98282322,3.32743886,1.34922545,1.27861518,23.8074481,4.25449736,23.8951153,23.8951066,23.8955474,23.8969894,23.8972219,23.8975217,23.8975848,23.897576,23.8975902,23.8962304,23.8963121,23.8987187,23.8988034,0.0390465673,0.0408780861,0.0346048139,0.0283380861,0.00908267296,0.00715029094,0.0136661704,0.0209126715,0.0228549244,0.0289905139,0.0430205727,0.0439796291,0.0446382885,10001,10000,9999,9999,10001,10003,10004,10000,9998,10.07,0.01,9.94,0.00,80.43,10.00,9.99,10000,10.01,10019,Passed,Passed,10.02,0.04
S221802452,18/08/2022 01:32:03 p. m.,110.29s,2,Passed,,0.182175,23.8148727,4.98399941,3.32743971,1.3492376,1.2786367,23.8027321,4.22717522,23.8838947,23.8890496,23.8848453,23.8864769,23.8920685,23.8928238,23.8924261,23.8919324,23.8923188,23.8905008,23.8903926,23.8906604,23.8925627,0.120124658,0.144419641,0.160082318,0.135514349,0.114866294,0.130947216,0.128431011,0.131263319,0.126076136,0.125604314,0.128027991,0.105009477,0.10921515,10000,10000,9998,10000,10001,10003,10005,10001,9998,10.07,0.01,9.94,0.00,80.43,10.00,9.99,10001,10.01,10021,Passed,Passed,9.99,0.04
S221705273,18/08/2022 01:33:28 p. m.,195.35s,1,Passed,,0.184357,23.7566591,5.00808717,3.32862856,1.35135775,1.27771619,23.7554151,23.7551836,23.8832584,23.8835333,23.8839747,23.8842714,23.8861953,23.8863952,23.88635,23.8864077,23.8866268,23.886685,23.8854917,23.8856301,23.8880417,0.0353907762,0.0311050974,0.0295344639,0.0421032799,0.0821525096,0.062351032,0.0581245351,0.0530109926,0.0752000778,0.0396197054,0.056672909,0.0493601862,0.0559346012,9995,10001,9991,9992,9998,9997,9999,9988,9993,10.07,0.00,10.00,0.00,80.18,10.01,10.00,10003,10.01,10013,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:35:15 p. m.,101.87s,2,Passed,,0.182495,23.8132043,4.9829914,3.32745581,1.34921178,1.27861364,23.8020084,4.25818433,23.8842933,23.8880214,23.8842714,23.8860632,23.8918715,23.891755,23.8922236,23.8917203,23.89215,23.8910019,23.8904984,23.892289,23.8904013,0.0760033596,0.0845080783,0.0999031154,0.0766569737,0.0636850174,0.0731271436,0.0681624383,0.0656635519,0.0635445717,0.0674413426,0.0604099587,0.0513929308,0.0561065601,10002,10002,10000,10001,10002,10003,10005,10002,9999,10.06,0.01,9.94,0.00,80.44,10.00,9.99,10001,10.01,10022,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:36:36 p. m.,182.98s,1,Passed,,0.184631,23.7591324,5.00779216,3.32860059,1.35146437,1.27773258,23.7576937,23.7574181,23.884212,23.8844669,23.8849404,23.8869133,23.8870772,23.8874325,23.8874216,23.8876216,23.8877397,23.8860835,23.8863503,23.888589,23.8885984,0.0174399967,0.0122825427,0.0205977266,0.0640074777,0.0217109257,0.0153160176,0.0227754106,0.031890391,0.0118469931,0.0167290109,0.0132317774,0.0188379965,0.0294056968,9994,10001,9990,9991,9999,9999,10000,9988,9995,10.07,0.00,10.00,0.00,80.20,10.01,10.00,10002,10.02,10011,Passed,Passed,10.00,0.04
S221705273,18/08/2022 01:38:15 p. m.,91.46s,1,Passed,,0.184479,23.7595755,5.00772635,3.32855553,1.35148267,1.2777595,23.7580143,4.19630134,23.8837724,23.8841107,23.8845468,23.8863425,23.8865493,23.8867497,23.8868822,23.8869415,23.8870406,23.8853883,23.8858866,23.8880779,23.8882141,0.0691357572,0.0681728267,0.0720140998,0.0986880698,0.0955632744,0.087588828,0.0616493509,0.0823228071,0.0418410463,0.0692064827,0.0561845417,0.0640546248,0.0717342737,9993,9998,9989,9989,9994,9994,9994,9985,9989,10.07,0.00,10.00,0.00,80.19,10.01,9.99,10001,10.01,10011,Passed,Passed,9.99,0.04
S221802452,18/08/2022 01:40:03 p. m.,199.27s,2,Failed,24 VAC Binary Output 10,0.182877,23.8125231,4.98409232,3.32742224,1.34921247,1.27861601,23.7993978,4.27155248,23.9133803,23.9133841,23.9137726,23.914297,23.9143373,23.9146503,23.9147863,23.9146345,23.914872,0.0347128232,0.0372433027,23.9170894,23.917207,0.0136224916,0.0225707432,0.0210327911,0.0269319817,0.0258629739,0.0347019809,0.0404858817,0.044441196,0.046648057,0.0518065769,0.0614934789,0.0579332708,0.0589533419,10000,10002,9999,10000,9999,10003,10004,10001,9999,10.07,0.01,9.95,0.00,80.42,10.00,10.01,10000,10.02,10022,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:41:41 p. m.,93.14s,1,Passed,,0.185089,23.7573028,5.00801049,3.32857729,1.35144131,1.27773957,23.7558594,4.21086643,23.8859826,23.8861654,23.8862963,23.8882032,23.8881257,23.8882574,23.8882358,23.8884785,23.8883814,23.8871534,23.8872271,23.8896361,23.8896613,0.0199620044,0.0256534382,0.0187622719,0.0361358458,0.0279678134,0.0430275104,0.0163400333,0.0221880077,0.0124052962,0.0243121511,0.0183667692,0.0203788999,0.0261325927,9996,10001,9991,9992,9998,9997,9998,9988,9994,10.07,0.00,10.00,0.00,80.19,10.01,10.00,9997,10.02,10011,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:43:39 p. m.,209.44s,2,Failed,UIO1 Voltage Output Mode 0V,0.182205,23.8150656,4.98413807,3.32740118,1.34925036,1.27864029,23.8044234,4.24822462,0.034720657,23.9053542,23.9053423,23.9066495,23.9068678,23.9066613,23.9065444,23.9067639,23.9067942,23.9061314,23.906054,23.9078266,23.9076664,0.0118087706,0.0281504225,0.030421845,0.0379627788,0.0294420636,0.0423881209,0.0450030004,0.0443882411,0.0555350479,0.0600567784,0.063877663,0.0534341321,0.195178119,10002,10003,10000,10002,10002,10005,10006,10003,10000,10.06,0.01,9.94,0.00,80.42,10.00,10.00,10001,10.02,10022,Passed,Passed,10.02,0.04
S221705273,18/08/2022 01:45:27 p. m.,93.42s,1,Passed,,0.185089,23.7568541,5.00805801,3.32857916,1.35140585,1.27772428,23.7556447,4.20099528,23.8884994,23.8887066,23.8889863,23.8905131,23.8903556,23.8904955,23.8906657,23.8906991,23.890691,23.889199,23.8894411,23.8917666,23.8914585,0.0468789864,0.0424356608,0.0501535068,0.0857542625,0.0645874354,0.0404477981,0.0456546785,0.0584132453,0.023282052,0.0278551832,0.0203236852,0.024171026,0.0255548349,9994,10001,9991,9992,9998,9997,9998,9988,9993,10.07,0.00,10.00,0.00,80.19,10.01,10.00,10003,10.01,10013,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:47:05 p. m.,191.30s,2,Passed,,0.181915,23.815326,4.98236845,3.32742263,1.34923603,1.27860363,23.8036208,4.22015076,23.8935491,23.8935297,23.8935915,23.8952297,23.8952449,23.8954298,23.895478,23.8954093,23.8955442,23.8941303,23.8939358,23.8962198,23.8964638,0.095637704,0.103440593,0.11004143,0.0827708185,0.0539856183,0.0514947383,0.0349718883,0.0203007035,0.0142940718,0.0065199459,0.0263452949,0.0327555391,0.0362423133,10010,10011,10008,10010,10010,10013,10015,10012,10009,10.06,0.01,9.94,0.00,80.42,10.00,10.03,10016,10.01,10035,Passed,Passed,9.99,0.04
S221705273,18/08/2022 01:49:22 p. m.,93.07s,2,Passed,,0.183823,23.7557665,5.00830069,3.32865896,1.35145551,1.27777447,23.7534274,4.20674957,23.885734,23.8859272,23.8861226,23.8878032,23.8878502,23.8880272,23.8880151,23.8882623,23.8881206,23.8866702,23.8869098,23.8892463,23.8891233,0.0603502055,0.0611436053,0.0796256027,0.0606772549,0.0398563073,0.0484169102,0.035566049,0.020043124,0.0288308855,0.0343855022,0.0173234019,0.0118005792,0.0205480322,9992,9997,9985,9988,9991,9994,9996,9985,9988,10.07,0.00,10.00,0.00,80.19,10.00,9.99,10009,10.01,10011,Passed,Passed,10.00,0.04
S221802452,18/08/2022 01:51:10 p. m.,200.31s,1,Failed,24 VAC Binary Output 8,0.183243,23.8150247,4.98349037,3.32745577,1.34904171,1.27843707,23.8084369,4.12219502,0.0355669433,23.9165275,23.9173492,23.9174222,23.9177585,23.9178707,23.9176108,23.9183775,0.0388984284,0.0363075381,23.9185915,23.9197178,23.9194506,0.0580650288,0.0541603077,0.061016603,0.0977663144,0.0771655645,0.0558220974,0.051123692,0.0660958212,0.0278193561,0.037306227,0.0267249816,0.0273986987,0.0325052768,9999,10002,10001,10001,10003,10003,10004,10001,10000,10.07,0.01,9.94,0.00,80.41,10.00,9.99,9997,10.01,10018,Passed,Passed,10.02,0.04
S221802452,18/08/2022 05:18:55 p. m.,105.77s,1,Passed,,0.184921,23.803292,4.98425296,3.32781126,1.34876309,1.27818131,23.7937752,4.21330839,23.8814358,23.876642,23.8818679,23.8786406,23.8786119,23.8838075,23.8836507,23.8836844,23.8840336,23.8827738,23.8822783,23.8838458,23.8816238,0.103574176,0.101027988,0.0988347032,0.101301578,0.0993715158,0.13264104,0.116114676,0.0976957192,0.0762712815,0.0999387533,0.05649613,0.0773291327,0.0741745021,10001,10002,10001,10001,10002,10002,10002,10001,10000,10.08,0.01,9.95,0.00,80.36,10.00,9.99,10001,10.01,10023,Passed,Passed,10.02,0.04
S221802452,18/08/2022 05:20:52 p. m.,27.51s,1,Failed,24 VAC Binary Output 1,0.182785,23.8052732,4.98535648,3.3278033,1.34867665,1.27801811,23.8027639,4.05781898,1.98556914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S221802452,18/08/2022 05:24:11 p. m.,115.01s,1,Passed,,0.182861,23.8044527,4.98327638,3.32787432,1.34867732,1.27803605,23.8156809,4.23564579,23.8790291,23.8744014,23.8798309,23.8774987,23.8778455,23.8830053,23.8833411,23.882808,23.8833735,23.8824032,23.8821488,23.8837861,23.8833436,0.101216281,0.097930169,0.0949378103,0.094338168,0.127933119,0.109657163,0.0846096059,0.0686020979,0.0888380124,0.0422322816,0.0560646416,0.0471668737,0.044623554,9999,10001,10000,10000,10002,10003,10004,10000,9999,10.06,0.01,9.94,0.00,80.38,10.00,9.99,9998,10.01,10018,Passed,Passed,10.02,0.04
S221802452,18/08/2022 05:27:10 p. m.,103.49s,1,Passed,,0.183441,23.8061846,4.98335876,3.3277955,1.3488288,1.27826012,23.8087442,4.12336867,23.8763141,23.8805179,23.8771095,23.878876,23.8846826,23.8845299,23.8839208,23.8841858,23.8838752,23.8826865,23.8829296,23.8820903,23.8838788,0.0838035131,0.08772769,0.0954556138,0.137034209,0.127144759,0.108230812,0.0914921664,0.125665263,0.0685019481,0.0993445988,0.0927049148,0.0972144058,0.117264766,9998,10000,9999,9999,10001,10001,10002,9999,9998,10.06,0.01,9.94,0.00,80.38,10.00,9.99,10000,10.01,10018,Passed,Passed,9.99,0.04
S221802452,18/08/2022 05:29:01 p. m.,104.49s,1,Passed,,0.183365,23.8093199,4.98391121,3.32776355,1.34890277,1.27831867,23.7976953,4.19365161,23.8864496,23.8796977,23.884543,23.881776,23.8821287,23.8866034,23.8868916,23.8874182,23.8872568,23.8862244,23.8856108,23.8881547,23.886955,0.0562686238,0.0593715011,0.0673683952,0.103363233,0.0940552095,0.0886043593,0.074414381,0.106173514,0.0617480716,0.0921572001,0.0895019916,0.0964183189,0.119414814,9999,10000,9999,9999,10001,10000,10002,9999,9998,10.06,0.01,9.94,0.00,80.38,10.00,9.99,9999,10.01,10019,Passed,Passed,10.02,0.04
