,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V,Rotary Switch Test
S225000209,13/12/2022 03:31:15 p. m.,105.36s,1,Passed,,0.059875,23.850724,5.01484342,3.32982922,1.34837965,1.27441154,23.8515655,23.852038,23.9008699,23.9012354,23.9014716,23.9032231,23.9032577,23.903467,23.9034088,23.9032796,23.9036029,23.9009053,23.9021948,23.9047651,23.9049356,0.0307130763,0.0259146627,0.0339156299,0.066249884,0.0477557903,0.0129758427,0.039953031,0.0515812883,0.016537704,0.00303631115,0.00648315231,0.00491454606,0.0263209555,10002,10000,10001,10000,10001,10000,10000,10000,9999,10.05,0.00,9.91,0.00,80.38,10.00,10.01,9983,10.01,9993,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 03:32:48 p. m.,198.49s,2,Passed,,0.055313,23.8391297,5.07200957,3.30465799,1.34922349,1.27421629,23.8389401,23.8408235,23.9127386,23.91272,23.9130202,23.914589,23.9147496,23.9148293,23.9151208,23.9150646,23.9151211,23.9137279,23.9137089,23.9160143,23.915956,0.041554585,0.0607936761,0.0677245097,0.0605237979,0.0535876584,0.0614796748,0.0637557085,0.0629491323,0.062461925,0.0660491419,0.0757765549,0.069407589,0.0718399283,9991,9993,9993,9993,9994,9992,9994,9994,9995,10.04,0.00,9.94,0.00,80.29,9.99,9.98,9998,10.01,9998,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 03:34:47 p. m.,105.14s,2,Passed,,0.055008,23.8421793,5.13686218,3.30498834,1.34926718,1.27422161,23.8418942,23.8412848,23.9166981,23.9168259,23.9168682,23.9187601,23.9188952,23.9190279,23.9189604,23.9192008,23.9192091,23.9176904,23.9178483,23.9202716,23.9204091,0.0719303415,0.0867717137,0.107908689,0.089463199,0.0712256082,0.0846930603,0.0775339977,0.054469793,0.0689934654,0.0712527949,0.0706255342,0.0591594182,0.0571053401,9990,9991,9991,9991,9992,9990,9991,9991,9992,10.04,0.00,9.94,0.00,80.29,9.99,10.00,9990,10.01,10002,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 03:36:20 p. m.,198.38s,1,Passed,,0.060043,23.8509547,5.08781853,3.33003218,1.34839682,1.27438409,23.8517462,23.8515196,23.8521735,23.9078426,23.9081137,23.9083219,23.9102641,23.9104686,23.9109528,23.9109104,23.9110581,23.911298,23.9088594,23.9104843,23.9128042,0.0774434409,0.0658882457,0.0646691295,0.0712669445,0.110917604,0.100325076,0.0704410157,0.0720209971,0.0918559034,0.0389868869,0.0621031251,0.0621083791,0.0602331949,10002,10000,10002,10000,10001,10001,10000,10001,10001,10.05,0.01,9.91,0.00,80.38,10.00,10.00,9996,10.01,9993,Passed,Passed,10.02,0.05,Passed
S225000209,13/12/2022 03:38:36 p. m.,105.44s,1,Passed,,0.054749,23.8515027,5.07248042,3.33002712,1.34833205,1.27425718,23.8522601,23.8526336,23.9051667,23.9055775,23.9055801,23.907718,23.9074837,23.9075621,23.9077558,23.907752,23.9077954,23.9053359,23.9066637,23.9088836,23.9090799,0.0570834441,0.0587930938,0.0595443208,0.113457472,0.0866536377,0.0755739589,0.0643957226,0.0864321364,0.0380817495,0.0900259682,0.0789489269,0.0859933913,0.089584354,10002,10001,10001,10000,10001,10001,10001,10000,9999,10.05,0.00,9.91,0.00,80.38,10.00,10.01,9985,10.01,9999,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 03:40:08 p. m.,197.04s,2,Passed,,0.055328,23.8407931,5.13897459,3.30497572,1.34916647,1.27406688,23.840459,23.8425848,23.921942,23.9223259,23.9223659,23.9239806,23.9244029,23.9243994,23.9244274,23.9242125,23.9246162,23.9232556,23.9233181,23.9255657,23.9257617,0.0859141338,0.10953219,0.126216111,0.108413679,0.0916861432,0.105360387,0.103940982,0.0956882351,0.100017657,0.104796947,0.108185603,0.0923061884,0.100392132,9991,9993,9994,9994,9995,9993,9995,9996,9999,10.04,0.00,9.94,0.00,80.28,10.00,10.01,9988,10.01,10005,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 03:51:23 p. m.,75.96s,2,Failed,UI1 Resistance Input Mode 10k,0.060425,23.7759238,5.09276205,3.33687895,1.34908191,1.27136667,23.7755613,23.7774479,23.9166761,23.9169288,23.9170664,23.9189263,23.9190519,23.9191839,23.9192364,23.9192617,23.919458,23.9178976,23.9179903,23.9202942,23.9204945,0.0175612299,0.0404346732,0.0422698712,0.0472260367,0.031782614,0.0404574182,0.0402884169,0.0417522937,0.0445451165,0.0439729816,0.057972414,0.0464483747,0.0541210181,9992,9997,9989,9991,9997,9999,10003,9989,9996,10.08,0.00,10.10,0.00,80.20,10.01,10.00,9760,,,,,,,
S224803893,13/12/2022 03:52:56 p. m.,169.26s,1,Passed,,0.061111,23.944285,5.06389551,3.31721856,1.34601822,1.27558447,23.9455121,23.9463209,23.9028056,23.9026009,23.9033215,23.9049652,23.9050077,23.903939,23.9027567,23.9007757,23.9014616,23.89998,23.9014779,23.9040039,23.904141,0.0542918893,0.052151397,0.0548207404,0.0925130239,0.0725357038,0.0441426978,0.0479097326,0.0595984758,0.0208971,0.0320955686,0.0255942955,0.0238073719,0.037631427,9988,9989,9990,9991,9994,9994,9988,9989,9995,10.03,0.00,10.10,0.00,80.25,10.01,9.98,9996,10.01,9979,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 03:54:55 p. m.,104.93s,2,Passed,,0.054337,23.7798767,5.09763307,3.33681791,1.34952642,1.27171668,23.779547,23.781405,23.9164921,23.9168013,23.9171153,23.918903,23.9187706,23.9191227,23.919135,23.9192829,23.9193925,23.9180486,23.9181722,23.9204194,23.9208653,0.0509802453,0.0599658405,0.0652261147,0.0531248143,0.050143348,0.0558922318,0.0589626163,0.0652373757,0.0597361811,0.0691947198,0.0660881865,0.0604990062,0.0689092852,9993,9997,9988,9990,9994,9998,10001,9987,9992,10.08,0.00,10.10,0.00,80.20,10.01,9.99,9995,10.01,10005,Passed,Passed,10.03,0.04,Passed
S224803893,13/12/2022 03:56:34 p. m.,203.61s,1,Passed,,0.059998,23.9488274,5.08253015,3.3170749,1.34626516,1.27606359,23.9501439,23.9500061,23.9509314,23.9056914,23.9058489,23.9062488,23.908032,23.9080114,23.9074288,23.9082809,23.908196,23.908492,23.9059209,23.9072502,23.9096642,0.0712462608,0.0590337382,0.0564079227,0.0627017504,0.0997316613,0.0868168483,0.0633561979,0.0651768543,0.0828426085,0.0362528913,0.0566894359,0.0574520944,0.0562005623,9991,9990,9993,9992,9994,9994,9990,9990,9994,10.04,0.01,10.10,0.00,80.25,10.01,9.99,9998,10.01,10010,Passed,Passed,9.99,0.04,Passed
S224803893,13/12/2022 04:01:08 p. m.,111.77s,1,Failed,Rotary Switch Test,0.055283,23.9489901,5.12250176,3.31722572,1.34622419,1.27589623,23.950322,23.9510081,23.9093516,23.9092387,23.9097887,23.9114586,23.9115085,23.9099305,23.9115039,23.9115544,23.9118115,23.909356,23.9106614,23.912812,23.9129047,0.0364751622,0.0369729431,0.0376477792,0.0674671838,0.0500244446,0.0440582013,0.0407340214,0.054016599,0.0257709334,0.0410215396,0.0436632785,0.0399840185,0.0431717881,9988,9988,9990,9990,9994,9994,9991,9988,9994,10.03,0.00,10.10,0.00,80.24,10.01,9.99,10001,10.01,10005,Passed,Passed,9.99,0.04,Failed
S225000648,13/12/2022 04:03:55 p. m.,103.83s,1,Passed,,0.060532,23.7785816,5.0869327,3.33657154,1.34919942,1.27143203,23.7789512,23.7797916,23.9127245,23.9129077,23.9131123,23.9149314,23.9151342,23.9150711,23.9152883,23.9151588,23.9153867,23.9129757,23.9139672,23.9163359,23.916368,0.0307543153,0.0334302312,0.0398783229,0.0810296512,0.0672459294,0.0482975865,0.0545347002,0.0722345062,0.0304715131,0.0591356721,0.0601796745,0.0619332374,0.0690651682,9995,9999,9991,9993,9998,9999,10000,9988,9995,10.08,0.00,10.10,0.00,80.18,10.01,9.99,9989,10.01,10007,Passed,Passed,10.03,0.04,Passed
S224802790,13/12/2022 04:05:29 p. m.,196.81s,2,Passed,,0.060837,23.8339838,5.09862162,3.30489455,1.34868406,1.27358218,23.8330548,23.8358197,23.9100479,23.9103794,23.9104329,23.912143,23.9124895,23.9125573,23.9123513,23.9124315,23.9127391,23.9112698,23.9111682,23.9135601,23.913649,0.0981155566,0.120011189,0.135144584,0.113540355,0.0928180063,0.103779284,0.0993334446,0.0894369842,0.0884555362,0.0872414533,0.0886650367,0.0740372782,0.069495125,9990,9992,9994,9993,9994,9992,9995,9996,10000,10.04,0.00,9.94,0.00,80.29,10.00,10.01,9988,10.01,10003,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:07:33 p. m.,104.08s,2,Passed,,0.059799,23.8399433,5.10312794,3.30473508,1.34912882,1.27405972,23.8395325,23.8414059,23.9101695,23.910442,23.9105833,23.9124757,23.9126716,23.9127101,23.9129857,23.9125689,23.9129027,23.9114643,23.9115417,23.913918,23.9140538,0.108826918,0.140488402,0.153565264,0.135408459,0.117543259,0.131731031,0.133770047,0.13804523,0.131202272,0.136609589,0.139370694,0.115371694,0.131255476,9991,9993,9994,9993,9994,9992,9994,9994,9996,10.04,0.00,9.94,0.00,80.28,9.99,9.98,9998,10.01,10002,Passed,Passed,9.99,0.04,Passed
S225000648,13/12/2022 04:09:15 p. m.,205.09s,1,Failed,Rotary Switch Test,0.055084,23.7802757,5.08815354,3.33650301,1.34960328,1.27175167,23.7809827,23.781695,23.9121414,23.9124922,23.912746,23.914538,23.9146437,23.9147331,23.9148456,23.9151554,23.9150548,23.9125631,23.9135316,23.9161418,23.9163461,0.0292892977,0.0250767896,0.0293517783,0.0677108461,0.0338695818,0.0239523612,0.0309343821,0.0407048365,0.0158458889,0.0245498854,0.0204917717,0.0234511913,0.0383516178,9994,9998,9990,9991,9996,9998,9999,9986,9994,10.08,0.00,10.10,0.00,80.18,10.01,9.99,9994,10.01,10007,Passed,Passed,10.03,0.04,Failed
S225000648,13/12/2022 04:11:19 p. m.,112.54s,1,Failed,Rotary Switch Test,0.054794,23.7819011,5.08413879,3.33651907,1.34970852,1.27182167,23.7827849,23.7833841,23.9121433,23.9123692,23.9124628,23.9143632,23.9142164,23.9144485,23.9145902,23.9145568,23.9147322,23.9121162,23.9132622,23.9156889,23.9155307,0.100920856,0.102951995,0.107640098,0.15458598,0.151331802,0.127908888,0.104469875,0.131582062,0.0606825326,0.123517039,0.117894704,0.121476851,0.127533946,9994,9997,9990,9990,9997,9997,10000,9986,9992,10.08,0.00,10.10,0.00,80.19,10.01,10.01,9989,10.01,10007,Passed,Passed,10.02,0.04,Failed
S224802790,13/12/2022 04:12:49 p. m.,203.08s,2,Passed,,0.055161,23.8401798,5.10346654,3.30472976,1.34922578,1.27415759,23.8399408,23.8419367,23.9095495,23.9099066,23.9099359,23.9117084,23.9119202,23.9119666,23.9120508,23.9120261,23.9123196,23.9109141,23.9110733,23.9134247,23.9134699,0.0895544843,0.108857898,0.121278107,0.10426892,0.0819610311,0.0928776065,0.0875528895,0.0769046728,0.0818257306,0.0848372093,0.0855144572,0.0689027618,0.0776652561,9992,9994,9996,9994,9996,9994,9996,9996,9997,10.04,0.00,9.94,0.00,80.28,9.99,9.99,9997,10.01,10005,Passed,Passed,9.99,0.04,Passed
S224803893,13/12/2022 04:15:15 p. m.,110.70s,1,Passed,,0.060699,23.9453881,5.09535386,3.31724179,1.34604161,1.27561394,23.9468227,23.9466058,23.9476487,23.90452,23.9047673,23.9052835,23.9068258,23.9067924,23.9064418,23.9064419,23.9068384,23.9070663,23.9046781,23.905962,23.9082736,0.0290554966,0.0161109231,0.00653344876,0.0144785767,0.0521901868,0.0137256066,0.0106622096,0.0216364127,0.0288749164,0.00823716334,0.027479201,0.0204509927,0.027305207,9988,9988,9990,9991,9994,9994,9992,9988,9993,10.03,0.01,10.10,0.00,80.24,10.01,9.99,9999,10.01,10004,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:16:47 p. m.,201.61s,2,Passed,,0.054718,23.8417075,5.13958882,3.30491208,1.34918331,1.27406906,23.841596,23.8431455,23.9155946,23.9158295,23.9161293,23.9178209,23.9178947,23.9180428,23.9179897,23.9180895,23.9182372,23.9169774,23.9170572,23.9193104,23.919491,0.0921434829,0.113439443,0.128454714,0.110976066,0.0891599868,0.101925059,0.0977968833,0.0876766963,0.0938943482,0.0978111952,0.0989623413,0.0817494859,0.0907347798,9991,9991,9991,9991,9992,9990,9992,9991,9993,10.04,0.00,9.94,0.00,80.28,9.97,10.01,9995,10.01,10000,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:18:49 p. m.,106.92s,2,Passed,,0.054947,23.8432782,5.1027404,3.30464393,1.34930028,1.27424796,23.8428304,23.8447816,23.9111705,23.9111735,23.9115298,23.9131048,23.91331,23.9132643,23.9133481,23.9134006,23.9136113,23.9123094,23.9123292,23.9145719,23.9148175,0.103261502,0.129283094,0.138532062,0.118768005,0.102142725,0.10276355,0.114798343,0.117798925,0.122210056,0.117198962,0.122305373,0.130443778,0.112498286,9991,9993,9994,9994,9995,9993,9995,9994,9998,10.04,0.01,9.94,0.00,80.27,9.96,10.01,9990,10.01,10005,Passed,Passed,9.99,0.04,Passed
S224803893,13/12/2022 04:20:21 p. m.,198.80s,1,Passed,,0.054703,23.9493619,5.07964357,3.31697633,1.34631608,1.2761362,23.9505018,23.9512614,23.9053612,23.905226,23.9054821,23.9073708,23.9074708,23.9065188,23.9072541,23.9072844,23.9074055,23.9051033,23.9063685,23.9086885,23.9088657,0.0545721301,0.0507485673,0.0517799164,0.0876335399,0.0646655761,0.0379621788,0.0419772078,0.0515980263,0.016730974,0.0251196046,0.0184437581,0.0219151095,0.0396148356,9988,9990,9990,9990,9994,9997,9984,9988,9996,10.04,0.00,10.10,0.00,80.26,10.01,9.98,9999,10.01,10005,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:22:33 p. m.,103.66s,2,Passed,,0.055389,23.950826,5.09954645,3.31739293,1.34635695,1.27615506,23.9507429,23.9502331,23.9527535,23.9116244,23.9119936,23.9121581,23.9138985,23.9142946,23.9142734,23.9143442,23.9144612,23.9145298,23.9132804,23.9135161,23.915984,0.0401596171,0.0273478441,0.0420373351,0.0320078472,0.0326332517,0.0189661192,0.0172027523,0.0297262395,0.0538730741,0.0403935094,0.0461364324,0.0601192376,0.0562805821,9988,9986,9988,9989,9991,9993,9991,9988,9993,10.03,0.01,10.10,0.00,80.27,9.97,9.99,10002,10.01,10001,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 04:24:04 p. m.,194.50s,1,Passed,,0.060989,23.8458842,5.07249606,3.33010068,1.34797833,1.27382387,23.846708,23.8471771,23.9086133,23.9087638,23.9091396,23.9111014,23.9111763,23.9113757,23.91147,23.9113304,23.9113503,23.9089818,23.9101363,23.9125266,23.9127289,0.0388794947,0.035472379,0.0407905704,0.077602309,0.0555093764,0.0428512299,0.047150553,0.0611496383,0.0273430636,0.0432444502,0.0441899311,0.0454337188,0.0616813075,10002,10001,10002,10001,10002,10002,10000,10001,10001,10.05,0.00,9.91,0.00,80.38,10.00,10.00,9991,10.01,9996,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 04:37:06 p. m.,105.59s,2,Passed,,0.054947,23.9490257,5.09708583,3.31743676,1.34625092,1.27593845,23.9493723,23.9511596,23.9191203,23.9191224,23.9195486,23.9212895,23.9216211,23.9212865,23.9214727,23.9212883,23.9216122,23.9203826,23.9205129,23.9231259,23.9230795,0.0720906691,0.0876694829,0.101957647,0.0859548039,0.0750560244,0.0870285693,0.0860940051,0.0808964994,0.0833807186,0.0897269448,0.0880333772,0.076468994,0.0832396046,9988,9987,9990,9990,9993,9994,9993,9990,9994,10.04,0.00,10.10,0.00,80.25,10.01,9.98,9998,10.01,10007,Passed,Passed,9.99,0.04,Passed
S225000209,13/12/2022 04:38:38 p. m.,197.25s,1,Passed,,0.054276,23.8492231,5.07943708,3.33001363,1.34816437,1.27402318,23.8500424,23.8505688,23.9104972,23.9105813,23.9108848,23.9126622,23.9127622,23.9129652,23.9128788,23.9129003,23.9129687,23.9101486,23.9117004,23.9141152,23.9141913,0.062126846,0.06258118,0.0693952067,0.109512124,0.100278106,0.0715580104,0.0747766932,0.0935777771,0.0404168197,0.0629840208,0.0642410158,0.0613630392,0.0793971925,10002,10000,10001,10000,10000,10000,10000,9999,9997,10.05,0.00,9.91,0.00,80.37,10.00,10.01,9992,10.01,9995,Passed,Passed,10.02,0.05,Passed
S225000209,13/12/2022 04:40:36 p. m.,105.19s,1,Failed,Rotary Switch Test,0.053635,23.8516496,5.08173675,3.32994624,1.34838598,1.27436441,23.8521749,23.8527821,23.9089779,23.9089668,23.9093394,23.9110695,23.9111159,23.9113547,23.9112801,23.9111863,23.911486,23.9089027,23.9101534,23.9122625,23.9124239,0.0230380739,0.019989171,0.0348153096,0.0763311541,0.059892638,0.0428949033,0.0582110076,0.0756703999,0.0328177743,0.0561632078,0.0557461803,0.0594341711,0.0664945281,10001,10000,10000,10000,10000,10000,10000,9999,9997,10.05,0.00,9.91,0.00,80.38,10.00,10.01,9849,10.01,9994,Passed,Passed,10.02,0.05,Passed
S224802790,13/12/2022 04:42:07 p. m.,195.45s,2,Passed,,0.055527,23.9498521,5.10010118,3.31736694,1.34641417,1.2763129,23.9498733,23.9517208,23.9200447,23.9201545,23.9203012,23.9218398,23.9221135,23.9222154,23.9221013,23.922069,23.922079,23.920648,23.9208503,23.9231783,23.923101,0.0992568863,0.121729238,0.137981185,0.117909462,0.0967465064,0.110625264,0.106795943,0.0966264389,0.102051003,0.1062847,0.108245295,0.0917352391,0.100699436,9988,9988,9990,9990,9993,9994,9993,9989,9994,10.04,0.00,10.10,0.00,80.26,10.01,9.98,9997,10.01,10008,Passed,Passed,9.99,0.04,Passed
S224802790,13/12/2022 04:43:59 p. m.,104.10s,2,Passed,,0.055298,23.9529585,5.10605948,3.31738761,1.34646482,1.2763833,23.9528989,23.9545532,23.9206693,23.9207915,23.9209546,23.9226464,23.9228979,23.9227883,23.9229729,23.9227659,23.9228025,23.9216198,23.9218295,23.9239788,23.9242058,0.0673052347,0.0932932382,0.0995693233,0.0873848565,0.0744975061,0.0818991087,0.084086708,0.0876471763,0.0763653995,0.0689326398,0.0835701101,0.0712483657,0.0661151417,9988,9987,9990,9990,9993,9994,9992,9989,9994,10.04,0.00,10.10,0.00,80.28,10.01,9.98,9998,10.01,10009,Passed,Passed,9.99,0.04,Passed
