,,,,,TestName,UUT Current Measurment,24 VDC Measurment,5 VDC Measurment,3.3 VDC Measurment,1.35 VDC Measurment,1.275 VDC Measurment,VDC w/18 VAC Power,VDC w/7 VAC Power,24 VAC Binary Output 1,24 VAC Binary Output 2,24 VAC Binary Output 3,24 VAC Binary Output 4,24 VAC Binary Output 5,24 VAC Binary Output 6,24 VAC Binary Output 7,24 VAC Binary Output 8,24 VAC Binary Output 9,24 VAC Binary Output 10,24 VAC Binary Output 11,24 VAC Binary Output 12,24 VAC Binary Output 13,0 VAC Binary Output 1,0 VAC  Binary Output 2,0 VAC  Binary Output 3,0 VAC  Binary Output 4,0 VAC  Binary Output 5,0 VAC  Binary Output 6,0 VAC  Binary Output 7,0 VAC  Binary Output 8,0 VAC  Binary Output 9,0 VAC  Binary Output 10,0 VAC  Binary Output 11,0 VAC  Binary Output 12,0 VAC  Binary Output 13,AI1 Resistance Input Mode 10k,AI2 Resistance Input Mode 10k,AI3 Resistance Input Mode 10k,AI4 Resistance Input Mode 10k,AI5 Resistance Input Mode 10k,AI6 Resistance Input Mode 10k,AI7 Resistance Input Mode 10k,AI8 Resistance Input Mode 10k,AI9 Resistance Input Mode 10k,AO1 Voltage Output Mode 10V,AO1 Voltage Output Mode 0V,AO1 Current Output Mode 10 mA,AO1 Current Output Mode 0 mA,AO1 PWM Output Mode 80Hz,UI1 Voltage Input Mode 10V,UI1 Current Input Mode 10mA,UI1 Resistance Input Mode 10k,UIO1 Current Input Mode 10mA,UIO1 Resistance Input Mode 10k,UIO1 Binary Input Mode "0",UIO1 Binary Input Mode "1",UIO1 Voltage Output Mode 10V,UIO1 Voltage Output Mode 0V
S221802452,18/08/2022 12:23:53 p. m.,97.91s,2,Passed,,0.182785,23.8125548,4.98458107,3.32752775,1.3491418,1.27853307,23.8010549,4.24013612,23.8874642,23.8904993,23.8863238,23.8880848,23.8930766,23.8940905,23.8942404,23.8935242,23.8941194,23.8927893,23.8917787,23.8950493,23.8916488,0.0466807009,0.0436072366,0.0534620962,0.0373317261,0.0254590577,0.0270108059,0.0222937426,0.0345802388,0.0249077844,0.0381685285,0.0231023065,0.0244525142,0.03650481,10008,10010,10007,10009,10009,10012,10013,10010,10008,10.04,0.01,9.95,0.00,80.44,9.97,10.03,10016,10.01,10034,Passed,Passed,10.02,0.04
S221705273,18/08/2022 12:25:14 p. m.,179.14s,1,Passed,,0.185501,23.7551706,5.00822727,3.3287461,1.35138512,1.27769791,23.7538638,4.20266696,23.8899942,23.8900185,23.8901806,23.8918892,23.8920252,23.8920193,23.8922391,23.8920943,23.8922488,23.8905696,23.8910441,23.8930491,23.8929936,0.0316272939,0.030619794,0.0427588531,0.0826469616,0.0618915835,0.0562245881,0.0503910165,0.0719183585,0.0370286465,0.0541246128,0.0460177992,0.0528503755,0.0726238235,9991,9997,9988,9988,9994,9994,9995,9984,9990,10.05,0.00,10.00,0.00,80.19,10.01,9.99,9999,10.01,10009,Passed,Passed,10.01,0.04
S221802452,18/08/2022 12:27:34 p. m.,105.18s,2,Failed,UIO1 Voltage Output Mode 0V,0.182739,23.8110611,4.98280864,3.32749991,1.34913813,1.27855239,23.7864099,4.21576138,23.8855026,23.8910928,23.8856989,23.887238,23.8930648,23.8925985,23.8929726,23.8933201,23.8934345,23.8915398,23.8917516,23.8922574,23.8934874,0.120327676,0.141619753,0.154923412,0.126485353,0.104798081,0.115502901,0.11002574,0.109857141,0.0998517843,0.0943504363,0.101088408,0.0835978513,0.0802533046,10009,10010,10008,10009,10010,10013,10014,10011,10008,10.04,0.01,9.95,0.00,0.00,9.99,10.02,10016,10.01,10035,Passed,Passed,10.02,0.04
S221705273,18/08/2022 12:28:54 p. m.,186.32s,1,Passed,,0.166611,23.7632842,5.00807283,3.32871907,1.35136391,1.2777166,23.7618358,4.2346537,23.8887792,23.88892,23.8891962,23.8910105,23.8911856,23.8912358,23.8913373,23.8914254,23.8916722,23.8903159,23.8904566,23.8928274,23.8927499,0.0408832892,0.0331904515,0.0388499149,0.0734121353,0.0381061197,0.0299654006,0.0284236473,0.0392125961,0.0176425475,0.0232720212,0.0185120529,0.0217601957,0.032462635,9997,10002,9992,9993,9999,9998,9999,9989,9994,10.05,0.00,10.00,0.00,80.18,10.01,10.00,10001,10.02,10016,Passed,Passed,10.01,0.04
S221802452,18/08/2022 12:30:54 p. m.,97.56s,2,Failed,UIO1 Voltage Output Mode 0V,0.182297,23.8104828,4.9825963,3.32753141,1.34909701,1.27846285,23.8020782,4.25401696,23.8875195,23.8879637,23.8853839,23.8869588,23.8881824,23.892548,23.8922012,23.8926677,23.8924536,23.8909025,23.8889053,23.8931994,23.8895441,0.122952863,0.148242295,0.163718575,0.139418172,0.118300076,0.135303627,0.134222864,0.140079569,0.134689982,0.136456957,0.139507791,0.11458939,0.125415755,10010,10011,10009,10010,10011,10014,10015,10013,10010,10.06,0.01,1.50,0.00,80.42,9.98,10.03,10017,10.01,10037,Passed,Passed,10.02,0.04
S221705273,18/08/2022 12:32:14 p. m.,178.76s,1,Passed,,0.184631,23.7576425,5.00793331,3.32868324,1.35140131,1.27769161,23.7562909,4.18207351,23.8824797,23.8829832,23.8832678,23.8851266,23.8850226,23.8851615,23.8853293,23.8855061,23.8854938,23.8840158,23.8846792,23.8866561,23.8868232,0.0123745715,0.0066044633,0.0159598259,0.0622077242,0.0167689413,0.0072193205,0.0216476612,0.0326192111,0.013340714,0.0185623614,0.0142092752,0.0175259292,0.0266835554,9994,10000,9991,9992,9998,9997,9998,9988,9993,10.05,0.00,10.00,0.00,80.19,10.01,10.00,10001,10.01,10013,Passed,Passed,10.01,0.04
S221802452,18/08/2022 12:34:39 p. m.,99.79s,2,Passed,,0.182953,23.8104682,4.98319406,3.32751868,1.34908951,1.27845833,23.8046747,4.24281458,23.8868004,23.885465,23.8853725,23.8867994,23.8883606,23.8918442,23.8930836,23.8922547,23.8921394,23.8911014,23.8909045,23.8921091,23.8925604,0.0203737678,0.0156716161,0.0146565853,0.00893426384,0.0176736503,0.0194796704,0.0218026099,0.0301833647,0.0271181945,0.0388232932,0.0355421879,0.0403195071,0.0393192985,10001,10001,9999,10001,10000,10004,10005,10001,9998,10.04,0.01,9.95,0.00,80.42,9.98,9.99,10001,10.01,10025,Passed,Passed,9.99,0.04
S221705273,18/08/2022 12:36:12 p. m.,191.80s,1,Failed,24 VAC Binary Output 12,0.185089,23.7574226,5.00793002,3.32872739,1.35139482,1.27769114,23.7560004,4.20836764,23.8867103,23.8867763,23.8869004,23.8885918,23.8885739,23.8887706,23.8887232,23.8890354,23.888931,23.8874473,23.8875513,0.00457823374,0.00429421218,0.0280059836,0.0125052146,0.0109140572,0.0232332719,0.0716358959,0.0506260113,0.0420810973,0.0473678122,0.0709813871,0.0339815222,0.0536033475,0.0449293341,0.052778063,9994,9998,9989,9990,9994,9994,9995,9985,9990,10.05,0.00,10.00,0.00,80.20,10.01,9.99,10003,10.01,10012,Passed,Passed,10.00,0.04
S221705273,18/08/2022 12:39:07 p. m.,90.73s,1,Passed,,0.184479,23.7569108,5.00801353,3.32871979,1.35137959,1.27769885,23.7555401,4.21501857,23.8842712,23.8844856,23.8845736,23.8862751,23.8863981,23.8864151,23.8864267,23.8866063,23.8865611,23.8850316,23.8853472,23.8875145,23.8873736,0.0390245922,0.0335374929,0.0438199104,0.0760964451,0.0553084116,0.0339331093,0.0430958788,0.0572105637,0.0238706871,0.0082120657,0.011116418,0.00559084516,0.033356787,9997,10002,9993,9993,9999,9998,10000,9989,9994,10.05,0.00,10.00,0.00,80.18,10.01,10.00,10006,10.02,10014,Passed,Passed,10.00,0.04
S221802452,18/08/2022 12:40:54 p. m.,196.41s,2,Failed,24 VAC Binary Output 11,0.182663,23.8105711,4.98280354,3.32753475,1.34907962,1.27844198,23.7990995,4.25158741,0.0326788749,23.9151979,23.9150135,23.9160659,23.9164919,23.9161567,23.9163234,23.9161813,23.9164174,23.9153829,23.9153598,0.0367278486,23.9178531,0.0577460745,0.0636554965,0.0691951409,0.0569082238,0.0378255979,0.0426435839,0.0360293904,0.0279287721,0.0301406372,0.0265533882,0.0278325302,0.0183105931,0.0138552816,10002,10002,9998,10000,10001,10003,10005,10001,9999,10.06,0.01,1.50,0.00,80.43,9.98,9.99,10000,10.01,10020,Passed,Passed,10.02,0.04
S221705273,18/08/2022 12:45:09 p. m.,90.22s,1,Passed,,0.185043,23.7549573,5.00822094,3.32880543,1.35127656,1.2776546,23.7535387,4.20199387,23.8884468,23.8886035,23.8885501,23.8903263,23.8904165,23.8905552,23.8905731,23.8908804,23.8908129,23.8894147,23.8894554,23.8918291,23.8915022,0.0695173218,0.0689961134,0.0703782638,0.0931557449,0.0906605974,0.0907475033,0.0537264859,0.0715114151,0.0388710927,0.0766761418,0.059468078,0.0708522852,0.0676990954,9995,10002,9990,9991,9999,10000,10000,9989,9995,10.05,0.00,10.00,0.00,80.21,10.01,9.99,10003,10.02,10011,Passed,Passed,10.00,0.04
S221802452,18/08/2022 12:46:44 p. m.,184.11s,2,Failed,UIO1 Voltage Output Mode 0V,0.182175,23.8095011,4.98352041,3.3275439,1.34897188,1.27831106,23.8041552,4.25261678,0.0350464527,23.9055181,23.9054698,23.9064933,23.907207,23.9071946,23.9070883,23.9071804,23.9071037,23.9059916,23.9062396,23.9078872,23.9079726,0.0780010789,0.0860848912,0.0924604173,0.0729208893,0.0494390893,0.051819912,0.0386364936,0.0249713478,0.0199101451,0.00857430609,0.0220862545,0.0276762072,0.0317411788,10010,10011,10008,10010,10010,10013,10015,10011,10009,10.06,0.01,9.94,0.00,80.44,9.97,10.03,10016,10.01,10035,Passed,Passed,9.99,0.04
S221705273,18/08/2022 12:48:40 p. m.,91.00s,1,Passed,,0.185135,23.7555805,5.00816375,3.32873646,1.35135814,1.27768932,23.7543515,4.16587757,23.8892709,23.889595,23.8898208,23.8915013,23.8914337,23.89151,23.8912889,23.8915378,23.8915,23.8898474,23.8901622,23.8923143,23.8922774,0.0695566466,0.0703596145,0.0758875262,0.123763766,0.105356605,0.0876642951,0.070920584,0.100493841,0.0493445359,0.100446349,0.101435829,0.0775747799,0.0951669244,9994,10000,9989,9990,9998,9999,9999,9987,9994,10.05,0.00,10.00,0.00,80.21,10.01,9.99,10001,10.01,10013,Passed,Passed,9.99,0.04
S221802452,18/08/2022 12:50:14 p. m.,183.82s,2,Failed,UIO1 Voltage Output Mode 0V,0.182297,23.8128445,4.98285006,3.32752438,1.34911454,1.27847552,23.8013015,4.24081116,23.895256,23.8955373,23.8958132,23.8972008,23.897427,23.8976392,23.8975292,23.8975459,23.8975283,23.8962504,23.8964315,23.8988937,23.8988339,0.0685940817,0.0852880745,0.102048732,0.0855075077,0.0743182193,0.0890685596,0.088718044,0.0851880723,0.0920683828,0.0968311359,0.102070306,0.0893550687,0.093492378,10001,10000,9999,10000,10000,10003,10004,10002,9998,10.04,0.01,9.94,8.45,80.42,9.97,9.99,9999,10.01,10023,Passed,Passed,10.02,0.04
